pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
11,203,72,72330,75120,16910,NA,W,3075,98,NA,1,1,6,3,1,3,1,5,2,0,1,1,0,2,2,2,2,7,NA,NA,NA,0,1706,2,1,5,1,NA,NA,CHICAGO,60628,5973,0.001506781,0.967520509,0,0.007199062,0.047547296,14000,Chicago,0,0,1,0,0,0,METCALFE,FENGER HS,6.908,39231,FALSE,FALSE,TRUE
12,278,20,20080,321330,35950,NA,W,3995,14,NA,2,1,7,4,1,1,1,5,1,1,3,4,0,2,2,2,2,3,2,1,1,0,2463,2,1,2,NA,NA,NA,ELMWOOD PARK,60707,3851,0.516229551,0.020514152,0.040249286,0.403012205,0.035834848,23724,Elmwood Park,0,0,1,0,0,0,SCHOOL DISTRICT UNIT  401,SCHOOL DISTRICT UNIT  401,10.001,50707,FALSE,TRUE,TRUE
13,202,72,72282,110830,29760,AV,W,3968,96,NA,2,6,6,2,1,3,1,5,2,1,2,1,0,2,NA,2,2,3,1,2,2,0,847,2,1,1,3,NA,1,CHICAGO,60620,5708,0.011037141,0.980028031,0.004204625,0.004730203,0,14000,Chicago,0,0,1,0,0,0,FORT DEARBORN,HARLAN HS,6.908,27500,FALSE,TRUE,TRUE
14,203,15,15085,133950,35540,NA,O,3843,76,NA,3,1,6,3,1,3,1,5,1,0,2,1,1,2,2,2,2,3,1,2,2,0,1654,2,1,5,1,NA,NA,CICERO,60804,5600,0.116607143,0.025,0,0.858392857,0,14351,Cicero,0,0,1,0,0,0,SCHOOL DISTRICT  99,BERWYN CICERO STICKNEY HIGH SCHOOL 201,16.731,65638,FALSE,TRUE,TRUE
15,203,17,17080,301850,57450,NA,W,3591,122,NA,1,1,5,2,1,3,1,5,1,0,1,1,0,2,2,2,2,3,1,2,2,0,1320,2,1,5,1,NA,1,EVANSTON,60202,2769,0.783315276,0.059588299,0.058504875,0.054532322,0.07475623,24582,Evanston,0,0,3,1,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,8.035,101364,FALSE,TRUE,TRUE
16,203,72,72221,88300,24770,NA,W,3812,69,NA,2,1,7,3,3,1,1,5,2,0,1,1,1,NA,NA,2,2,3,2,2,2,0,1029,2,1,1,1,NA,NA,CHICAGO,60620,2310,0,0.96969697,0.002597403,0.027705628,0,14000,Chicago,0,0,1,0,0,0,CUFFE,HIRSCH HS,6.873317191,41985,FALSE,TRUE,TRUE
17,202,70,70091,67830,49860,NA,W,5541,64,NA,3,1,7,3,3,1,1,5,2,0,2,1,1,NA,NA,2,2,3,3,2,2,0,870,2,1,1,3,NA,NA,CHICAGO,60619,6004,0.007661559,0.959526982,0.01332445,0.00916056,0.017821452,14000,Chicago,0,0,1,0,0,0,AVALON PARK,CHICAGO VOCATIONAL HS,6.883864648,42766,FALSE,TRUE,TRUE
18,203,24,24081,194740,74770,NA,T,7871,66,NA,2,1,6,3,1,1,1,5,2,0,3,2,0,NA,NA,2,2,3,1,2,2,0,1234,2,1,1,NA,NA,NA,NILES,60714,5429,0.627555719,5.53E-04,0.257874378,0.105728495,0.016577639,53000,Niles,0,0,1,0,1,0,SCHOOL DISTRICT 71,COMMUNITY HIGH SCHOOL  219,7.25,70169,FALSE,TRUE,TRUE
19,211,77,77040,114600,38180,NA,W,3250,103,2,1,1,6,4,2,3,1,5,2,0,3,2,0,2,2,2,2,1,1,2,2,0,1972,2,2,2,NA,NA,NA,CHICAGO,60651,2291,0.163683981,0.2976866,0.005674378,0.529026626,0.007856831,14000,Chicago,0,0,1,0,0,0,CASALS,ORR HS,6.89,43571,FALSE,TRUE,TRUE
20,203,39,39080,109000,47970,NA,O,7995,68,NA,3,1,5,3,4,3,1,5,1,0,3,1,0,NA,NA,2,2,2,1,2,2,0,1045,2,1,1,NA,NA,NA,OAK LAWN,60453,3370,0.73264095,0.058753709,0.008011869,0.195252226,0.010682493,54820,Oak Lawn,0,0,1,0,0,0,SCHOOL DISTRICT  123,COMMUNITY HIGH SCHOOL  218,13.148,64646,FALSE,TRUE,TRUE
21,211,76,76030,172870,130940,NA,W,2976,157,2,1,1,12,4,1,3,2,5,2,0,3,2,0,2,2,2,2,3,2,2,2,0,2080,2,2,2,NA,NA,NA,CHICAGO,60616,4413,0.209381373,0.014955812,0.623612055,0.149784727,0.004532064,14000,Chicago,0,0,1,0,0,0,HEALY,TILDEN HS,6.89,34127,FALSE,TRUE,TRUE
22,202,70,70130,76470,42180,NA,T,4687,69,NA,2,1,5,2,1,3,1,5,1,0,3,1,0,2,NA,2,2,3,1,2,2,0,864,2,1,1,NA,NA,NA,CHICAGO,60617,5584,0.016475645,0.961855301,0,0.018087393,0.007163324,14000,Chicago,0,0,1,0,0,0,EARHART,BOWEN HS,6.908,50426,FALSE,TRUE,TRUE
23,202,72,72380,131500,37500,NA,T,3750,107,NA,2,1,9,4,1,1,2,5,2,0,3,2,0,NA,NA,2,2,2,1,2,2,0,956,2,1,1,NA,NA,NA,CHICAGO,60638,4022,0.411984088,0.015415216,0.006961711,0.5611636,0.008950771,14000,Chicago,0,0,1,0,0,0,HALE,KENNEDY HS,6.934,44085,FALSE,TRUE,TRUE
24,211,73,73120,422430,180000,NA,W,3000,142,3,1,1,8,5,1,2,1,5,2,0,1,3,0,2,2,2,2,1,1,2,2,0,2120,2,2,5,1,NA,1,CHICAGO,60657,3625,0.817103448,0.01462069,0.067310345,0.069241379,0.059586207,14000,Chicago,0,0,1,0,0,0,BURLEY,LAKE VIEW HS,6.89,143667,FALSE,TRUE,TRUE
25,278,24,24102,450030,130680,VG,W,11880,46,NA,3,1,9,6,3,1,1,5,1,1,3,2,1,2,2,2,2,3,3,1,2,0,3472,2,1,2,NA,NA,NA,LINCOLNWOOD,60712,4052,0.623642646,0,0.300098717,0.066880553,0.014313919,43744,Lincolnwood,0,0,1,0,0,0,SCHOOL DISTRICT 74,COMMUNITY HIGH SCHOOL  219,8.872,105132,FALSE,TRUE,TRUE
26,211,77,77102,93070,36710,NA,W,3125,117,2,1,1,6,4,2,3,1,5,2,0,3,2,0,NA,NA,2,2,3,1,2,2,0,2396,2,2,2,NA,NA,NA,CHICAGO,60624,2150,0.004186047,0.947906977,0.025581395,0.022325581,0,14000,Chicago,0,0,1,0,0,0,HEFFERAN,MANLEY HS,6.913,25625,FALSE,TRUE,TRUE
27,205,31,31080,160970,31820,AV,W,6700,74,NA,2,1,6,3,1,1,1,5,1,0,2,1,0,NA,NA,2,2,1,1,2,2,0,1260,2,1,2,3,NA,NA,HILLSIDE,60162,5989,0.18417098,0.474870596,0.003339456,0.327433628,0.02037068,35086,Hillside,0,0,1,0,0,0,SCHOOL DISTRICT 87,PROVISO TOWNSHIP HIGH SCHOOL 209,15.18,54597,FALSE,TRUE,TRUE
28,206,23,23021,557130,389760,NA,T,18560,92,NA,2,4,11,3,3,3,2,5,2,1,2,3,1,2,NA,1,2,1,2,1,1,0,3256,2,1,2,3,NA,NA,GLENCOE,60022,2498,0.919135308,0,0.04723779,0.020016013,0.027221777,29652,Glencoe,0,0,1,0,0,1,SCH DISTRICT 35,NEW TRIER TOWNSHIP HIGH SCHOOL  203,8.481,250001,FALSE,TRUE,TRUE
29,202,72,72121,36790,20310,NA,O,3125,102,NA,1,1,5,2,1,3,1,5,2,0,2,1,0,NA,NA,2,2,1,1,2,2,0,861,2,1,1,1,NA,1,CHICAGO,60636,4064,0.007135827,0.969980315,0,0.006643701,0.032480315,14000,Chicago,0,0,1,0,0,0,RANDOLPH,HARPER HS,6.873317191,43063,FALSE,TRUE,TRUE
30,203,70,70240,88570,20310,NA,W,3125,58,NA,2,1,5,2,1,3,1,5,2,0,3,1,0,NA,NA,2,2,7,NA,NA,NA,0,1040,2,1,1,NA,NA,NA,CHICAGO,60617,2809,0.227839089,0,0.011035956,0.761124956,0,14000,Chicago,0,0,1,0,0,0,"WASHINGTON, G",WASHINGTON HS,6.908,44738,FALSE,FALSE,TRUE
31,211,77,77102,99660,43710,NA,W,3720,107,2,2,1,12,6,1,1,1,2,2,0,3,2,0,2,2,2,2,3,1,2,2,0,2460,2,2,2,NA,NA,1,CHICAGO,60644,4653,0.012465076,0.952503761,0.011605416,0.023425747,0,14000,Chicago,0,0,2,1,0,0,LELAND,MANLEY HS,6.89,26230,FALSE,TRUE,TRUE
32,210,22,22040,139620,23630,NA,W,3781,75,NA,2,1,6,3,1,1,1,5,1,0,2,1,0,2,2,2,2,1,1,2,2,0,996,2,1,1,3,NA,NA,DES PLAINES,60018,4483,0.527771582,0.030336828,0.087887575,0.324113317,0.059781396,19642,Des Plaines,0,0,1,0,0,0,SCHOOL DISTRICT C C  62,MAINE TOWNSHIP HIGH SCHOOL  207,9.229,71359,FALSE,TRUE,TRUE
33,211,70,70010,305910,53550,NA,W,3150,3,3,2,2,15,6,2,3,1,5,1,0,3,6,0,2,2,2,2,7,NA,NA,NA,0,3893,2,2,3,NA,NA,NA,CHICAGO,60653,1983,0.026727181,0.943519919,0,0.00706001,0.039838628,14000,Chicago,0,0,1,0,0,0,FULLER,PHILLIPS HS,6.89,17600,FALSE,FALSE,TRUE
34,211,31,31040,12200,23690,NA,O,4989,132,2,1,1,8,4,1,3,1,5,2,0,3,2,0,2,NA,2,2,3,1,2,2,0,1578,2,2,2,NA,NA,1,MAYWOOD,60153,4092,0.129765396,0.261241447,2.44E-04,0.601906158,0.013685239,47774,Maywood,0,0,1,0,0,1,SCHOOL DISTRICT 89,PROVISO TOWNSHIP HIGH SCHOOL 209,21.667,59926,FALSE,TRUE,TRUE
35,211,72,72170,122960,22550,NA,O,3007,14,3,1,1,15,9,1,2,1,5,1,0,3,3,0,2,1,2,2,7,NA,NA,NA,0,3525,2,2,2,NA,NA,NA,CHICAGO,60621,2433,0,0.965474723,0,0.023427867,0.011097411,14000,Chicago,0,0,6,0,0,0,STAGG,ROBESON HS,6.873317191,38385,FALSE,FALSE,TRUE
36,211,27,27040,455980,59470,NA,W,5287,107,2,2,1,13,7,2,2,2,5,1,0,3,3,0,2,2,1,2,3,1,2,2,0,4867,2,2,2,NA,NA,1,OAK PARK,60302,2413,0.639452963,0.188147534,0.054703688,0.066307501,0.094073767,54885,Oak Park,0,0,1,0,0,0,SCHOOL DISTRICT  97,CONSOLIDATED HIGH SCHOOL  200,13.157,55179,FALSE,TRUE,TRUE
37,234,37,37033,131030,15930,NA,W,4248,34,NA,3,1,6,3,3,1,1,5,1,1,3,2,0,2,2,2,2,3,2,1,2,59,1427,2,1,4,NA,NA,NA,DOLTON,60419,2723,0.029012119,0.928387808,0,0,0.085200147,20292,Dolton,0,0,1,0,0,0,SCHOOL DISTRICT  149,THORNTON TOWNSHIP HIGH SCHOOL  205,25.009,34500,FALSE,TRUE,TRUE
38,278,70,70010,408380,65430,NA,W,3849,3,NA,1,1,8,5,1,1,1,5,1,1,3,3,1,2,2,2,2,5,1,2,2,0,2176,2,1,2,NA,NA,NA,NA,NA,2918,0.025017135,0.888279644,0.008910212,0.044551062,0.053118574,14000,Chicago,0,0,1,0,0,0,WOODSON,PHILLIPS HS,6.89,39602,FALSE,TRUE,TRUE
39,204,25,25021,629640,57580,MH,O,4799,2,NA,1,1,6,3,1,3,1,5,1,1,3,2,1,2,2,2,2,3,1,1,2,0,2094,2,1,1,NA,NA,NA,NORTHBROOK,60062,5600,0.805357143,7.14E-04,0.14625,0.025535714,0.044285714,53481,Northbrook,0,0,1,0,0,1,SCHOOL DISTRICT 27,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.599,138992,FALSE,TRUE,TRUE
40,211,72,72221,107290,25790,NA,O,3968,101,2,1,1,10,6,1,3,1,5,2,0,3,3,0,2,2,2,2,3,2,2,2,0,2900,2,2,2,NA,NA,2,CHICAGO,60620,4741,8.44E-04,0.986078886,0.007804261,0,0.005273149,14000,Chicago,0,0,1,0,0,1,COOK,HIRSCH HS,6.873317191,31233,FALSE,TRUE,TRUE
41,203,71,71150,175220,61500,NA,T,4920,110,NA,3,1,8,5,1,3,1,5,2,0,1,2,1,2,NA,2,2,3,1,2,2,0,1421,2,1,5,1,NA,NA,CHICAGO,60634,7328,0.599754367,0.072734716,0.054994541,0.262827511,0.019377729,14000,Chicago,0,0,1,0,0,0,BRIDGE,STEINMETZ COLLEGE PREP HS,6.894,75339,FALSE,TRUE,TRUE
42,211,70,70120,135530,42400,NA,O,4712,100,3,2,2,20,8,1,3,2,5,2,0,3,3,0,2,2,2,2,3,2,2,2,0,4248,2,2,3,NA,NA,NA,CHICAGO,60619,4890,0.03006135,0.925153374,0,0.023108384,0.043353783,14000,Chicago,0,0,1,0,0,0,DIXON,HIRSCH HS,6.883864648,26508,FALSE,TRUE,TRUE
43,203,29,29060,191480,23270,NA,W,6650,66,NA,1,1,7,4,4,3,1,5,1,0,3,1,0,2,2,2,2,3,1,2,2,0,1579,2,1,1,NA,NA,NA,PALATINE,60067,4559,0.801710902,0.02039921,0.058784821,0.099363896,0.037508225,57225,Palatine,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,9.835,84615,FALSE,TRUE,TRUE
44,278,29,29033,269180,47850,NA,W,7656,45,NA,1,1,8,4,4,3,1,5,1,1,3,2,0,2,NA,2,2,3,1,1,2,0,2122,2,1,2,NA,NA,NA,HOFFMAN ESTATES,60192,4955,0.630272452,0.021190716,0.234308779,0.068819374,0.090817356,35411,Hoffman Estates,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,10.023,116563,FALSE,TRUE,TRUE
45,203,12,12032,77210,21600,NA,T,7200,51,NA,1,1,5,3,1,1,1,5,2,0,3,1,0,2,NA,2,2,4,1,2,2,0,1095,2,1,1,NA,NA,NA,GLENWOOD,60425,4966,0.176198147,0.718485703,8.05E-04,0.074103907,0.059001208,30029,Glenwood,0,0,1,0,0,0,SCHOOL DISTRICT  167,BLOOM TOWNSHIP HIGH SCHOOL  206,18.647,57361,FALSE,TRUE,TRUE
46,204,19,19060,353560,144930,NA,T,25206,27,NA,4,1,6,3,1,3,1,5,1,1,2,2,1,2,2,2,2,5,1,1,2,0,3566,2,1,5,1,NA,NA,LEMONT,60439,6124,0.858589157,0,0.022534291,0.094872632,0.045558459,42795,Lemont,0,0,1,0,0,0,COMBINED SCHOOL DISTRICT C.C. NO. 113A,LEMONT TOWNSHIP HIGH SCHOOL  210,7.932,92984,FALSE,TRUE,TRUE
47,211,71,71082,431590,79680,NA,W,3622,106,4,2,1,16,8,1,3,1,2,2,0,3,4,0,2,2,2,2,3,1,2,2,0,3955,2,2,2,NA,NA,NA,CHICAGO,60618,3529,0.477472372,0.017568716,0.048172287,0.429016719,0.055539813,14000,Chicago,0,0,6,1,0,0,BATEMAN,ROOSEVELT HS,6.901516611,68902,FALSE,TRUE,TRUE
48,203,31,31160,178890,24370,NA,W,3750,92,NA,2,1,5,3,1,3,1,5,2,0,1,1,0,2,2,2,2,3,1,2,2,0,1108,2,1,1,3,NA,1,BROOKFIELD,60513,5502,0.800981461,0.010359869,0.029989095,0.139585605,0.038167939,8576,Brookfield,0,0,1,0,0,0,SCHOOL DISTRICT 95,RIVERSIDE BROOKFIELD HIGH SCHOOL 208,13.524,84053,FALSE,TRUE,TRUE
49,208,23,23141,18730,221660,NA,W,9236,2,NA,1,1,8,4,1,1,1,5,1,1,1,4,1,2,2,2,2,3,1,2,2,0,4413,2,1,2,1,NA,NA,NA,NA,4426,0.856529598,0.009489381,0.089019431,0.019430637,0.045187528,82075,Wilmette,0,0,4,1,0,0,SCH DISTRICT 39,NEW TRIER TOWNSHIP HIGH SCHOOL  203,7.823,165139,TRUE,TRUE,TRUE
50,278,30,30054,224640,74010,VG,T,10965,46,NA,3,1,9,6,2,3,1,5,2,1,3,2,1,2,2,2,2,3,2,1,2,0,3334,2,1,2,NA,NA,NA,PALOS HEIGHTS,60463,4031,0.953361449,2.48E-04,0.017861573,0.009178864,0.019350037,57381,Palos Heights,0,0,1,0,0,0,SCHOOL DISTRICT C C  118,CONSOLIDATED HIGH SCHOOL  230,9.992,85119,FALSE,TRUE,TRUE
51,202,37,37181,44600,25500,NA,W,6800,98,NA,1,1,3,2,1,3,1,5,2,0,3,1,1,2,2,2,2,1,1,2,2,0,640,2,1,1,NA,NA,NA,LANSING,60438,4816,0.537167774,0.294850498,0.014742525,0.153239203,0,42028,Lansing,0,0,1,0,0,0,SCHOOL DISTRICT 158,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,19.524,54940,FALSE,TRUE,TRUE
52,205,72,72271,264120,90000,NA,O,9000,96,NA,1,1,6,4,2,3,1,5,2,0,3,2,0,NA,NA,2,2,1,1,2,2,0,2046,2,1,2,NA,NA,NA,CHICAGO,60643,4047,0.390412651,0.521373857,0.004941932,0.050901903,0.055349642,14000,Chicago,0,0,1,0,0,0,SUTHERLAND,MORGAN PARK HS,6.908,73300,FALSE,TRUE,TRUE
53,203,70,70180,73450,30000,NA,W,5456,78,NA,2,1,6,3,1,1,1,5,2,0,1,1,0,2,NA,2,2,3,1,2,2,0,1360,2,1,5,1,NA,NA,CHICAGO,60617,5126,0.00351151,0.992196645,0,0.004291845,0,14000,Chicago,0,0,1,0,0,0,BURNHAM,BOWEN HS,6.908,30069,FALSE,TRUE,TRUE
54,203,22,22130,78350,69440,AV,W,8170,66,NA,3,1,5,3,1,3,2,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1048,2,1,1,NA,NA,NA,DES PLAINES,60018,3286,0.732501522,0.012172855,0.163724893,0.076688984,0.029823494,19642,Des Plaines,0,0,1,0,0,0,SCHOOL DISTRICT C C  62,MAINE TOWNSHIP HIGH SCHOOL  207,9.229,72946,FALSE,TRUE,TRUE
55,202,72,72312,61490,23070,NA,W,3550,58,NA,2,1,5,2,1,1,1,5,2,0,1,1,0,2,2,2,2,7,NA,NA,NA,0,969,2,1,1,3,NA,NA,CHICAGO,60643,3663,0.006825007,0.90990991,0,0,0.11984712,14000,Chicago,0,0,1,0,0,0,SHOOP,MORGAN PARK HS,6.908,37159,FALSE,FALSE,TRUE
56,203,71,71030,212980,50220,NA,W,3720,66,NA,2,1,7,3,1,1,2,5,2,0,3,1,1,NA,NA,2,2,7,NA,NA,NA,0,1339,2,1,1,NA,NA,NA,CHICAGO,60659,5228,0.599464422,0.031369549,0.287299158,0.064651875,0.033091048,14000,Chicago,0,0,1,0,0,1,SOLOMON,MATHER HS,6.901516611,43438,FALSE,FALSE,TRUE
57,202,24,24031,163360,76720,NA,W,9590,69,NA,1,1,6,3,1,3,1,5,1,1,3,1,1,2,2,2,2,3,1,2,2,0,966,2,1,1,NA,NA,1,GLENVIEW,60025,2104,0.921102662,4.75E-04,0.033269962,0.034220532,0.019961977,29938,Glenview,0,0,1,0,0,0,SCHOOL DISTRICT C C 34,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.13,170313,FALSE,TRUE,TRUE
58,204,31,31010,211520,37180,NA,T,8750,75,NA,1,1,7,3,4,3,1,5,1,1,2,1,0,2,2,2,2,3,1,2,2,0,2164,2,1,5,1,NA,NA,NORTHLAKE,60164,2821,0.166253102,0.079049982,0.016306274,0.733427862,0.008153137,53871,Northlake,0,0,1,0,0,0,SCHOOL DISTRICT 87,PROVISO TOWNSHIP HIGH SCHOOL 209,12.972,48381,FALSE,TRUE,TRUE
59,203,72,72212,59900,32240,NA,W,4030,63,NA,1,1,4,3,2,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1112,2,1,1,NA,NA,NA,CHICAGO,60620,5007,5.99E-04,0.97962852,0,0.00519273,0.014579589,14000,Chicago,0,0,1,0,0,0,JOPLIN,BOGAN HS,6.873317191,42596,FALSE,TRUE,TRUE
60,205,71,71030,219940,59540,NA,W,4411,79,NA,2,1,6,3,1,3,1,5,1,1,3,1,0,NA,NA,2,2,1,2,2,2,0,1234,2,1,2,NA,NA,NA,CHICAGO,60646,6516,0.688766114,0.007519951,0.165745856,0.118324125,0.039287907,14000,Chicago,0,0,1,0,0,0,SAUGANASH,TAFT HS,6.901516611,123818,FALSE,TRUE,TRUE
61,203,39,39132,74690,19330,AV,T,3866,122,NA,1,1,5,3,1,1,1,5,2,1,1,1,0,2,2,2,2,7,NA,NA,NA,0,1046,2,1,1,3,NA,NA,BLUE ISLAND,60406,5040,0.2625,0.183134921,0.003571429,0.491666667,0.118253968,6704,Blue Island,0,0,1,0,0,0,SCHOOL DISTRICT 130,COMMUNITY HIGH SCHOOL  218,15.452,47371,FALSE,FALSE,TRUE
62,234,37,37033,38730,20640,NA,W,5504,62,NA,3,1,9,3,3,1,1,5,1,0,3,2,1,NA,NA,2,2,3,1,2,2,0,1370,2,1,4,NA,NA,NA,DOLTON,60419,4578,0.054172128,0.915902141,0.00873744,0.006771516,0.028833552,20292,Dolton,0,0,1,0,0,0,SCHOOL DISTRICT  149,THORNTON TOWNSHIP HIGH SCHOOL  205,25.009,46837,FALSE,TRUE,TRUE
63,205,71,71120,275640,59810,NA,W,4125,102,NA,1,1,6,3,1,1,1,5,1,0,3,3,1,2,2,2,2,3,1,2,2,0,2005,2,1,2,NA,NA,NA,CHICAGO,60641,4770,0.242767296,0.012368973,0.020545073,0.696016771,0.043396226,14000,Chicago,0,0,1,0,0,0,SCAMMON,SCHURZ HS,6.917,55125,FALSE,TRUE,TRUE
